,Budget,Countries,Counts,Downloads,IMDB_ID,Ratings,Titles
15377,NaN,[USA],1,67,tt2413516,2.0,The Forbidden Dimensions (2013)
15378,NaN,[Japan],1,522,tt0064353,7.3,Samurai Banners (1969)
15379,"$8,000,000",[USA],1,79,tt0064357,5.5,"Gaily, Gaily (1969)"
15380,NaN,[USA],1,425,tt0463959,5.7,Desolation Canyon (TV Movie 2006)
15381,NaN,[USA],2,1463,tt0099850,6.5,Internal Affairs (1990)
15382,NaN,[USA],2,749,tt0095348,6.5,I'm Gonna Git You Sucka (1988)
15383,NaN,[Russia],1,598,tt1437357,6.7,Faust (2011)
15384,NaN,[Sweden],1,552,tt1437354,5.5,För kärleken (2010)
15385,"$5,000,000",[Spain],2,5588,tt1437358,7.2,Mientras duermes (2011)
15386,"$23,000,000",[USA],7,11790,tt0129387,7.1,There's Something About Mary (1998)
15387,NaN,"[West Germany, France, USA]",1,321,tt0095341,7.8,Hôtel Terminus (1988)
15388,NaN,[Canada],1,1477,tt1109600,2.3,Paparazzi Princess: The Paris Hilton Story (TV Movie 2008)
15389,NaN,[Japan],1,49,tt1006926,7.4,One piece: Dead end no bôken (2003)
15390,NaN,[USA],1,827,tt1748207,6.7,Sound of My Voice (2011)
15391,"$25,000",[USA],1,63,tt1763288,4.9,Stripped (2013)
15392,NaN,"[China, Hong Kong]",2,71,tt2957774,6.7,The White Storm (2013)
15393,NaN,[USA],2,4816,tt1196339,5.6,Princess Protection Program (TV Movie 2009)
15394,NaN,"[Hungary, Germany, USA]",4,4191,tt0112545,7.0,The Seventh Brother (1995)
15395,NaN,[Spain],5,4184,tt0441909,7.6,Volver (2006)
15396,NaN,[USA],1,137,tt0112547,5.0,Bodily Harm (1995)
15397,"$2,000,000",[USA],2,880,tt0112541,6.7,Blue in the Face (1995)
15398,"$50,000",[South Korea],1,641,tt0255589,7.1,Seom (2000)
15399,"$800,000",[Singapore],1,60,tt2402613,4.3,Ghost on Air (2012)
15400,NaN,[Spain],1,736,tt0382097,6.9,Swindled (2004)
15401,"$30,000,000",[USA],7,23858,tt0378194,8.0,Kill Bill: Vol. 2 (2004)
15402,NaN,[Hungary],1,506,tt0093599,7.1,Napló szerelmeimnek (1987)
15403,NaN,[USA],1,91,tt2827192,5.6,Forev (2013)
15404,NaN,[Canada],1,439,tt0157000,4.8,Sanctuary (1998)
15405,NaN,[Poland],1,754,tt0093593,7.1,On the Silver Globe (1988)
15406,"$12,000,000",[USA],1,28,tt0093596,5.4,Nadine (1987)
15407,NaN,"[Romania, Sweden, Germany]",1,577,tt1590024,7.2,"Eu cand vreau sa fluier, fluier (2010)"
15408,"$40,000,000",[USA],4,3479,tt0122718,6.1,Small Soldiers (1998)
15409,NaN,[UK],1,311,tt0291833,4.4,Cradle of Fear (Video 2001)
15410,NaN,"[USA, UK]",2,371,tt0055018,7.9,The Innocents (1961)
15411,NaN,[USA],1,44,tt0031448,7.7,The Hound of the Baskervilles (1939)
15412,NaN,[Italy],1,254,tt1567720,6.3,Così vanno le cose (TV Movie 2008)
15413,NaN,[USA],2,467,tt0062218,6.4,Rough Night in Jericho (1967)
15414,NaN,"[Germany, Italy, France]",1,254,tt1395050,5.4,Friends Forever (2009)
15415,NaN,[USA],1,1279,tt0108223,5.0,Stepmonster (Video 1993)
15416,NaN,[India],1,138,tt1395054,7.4,Once Upon a Time in Mumbaai (2010)
15417,NaN,[Canada],1,82,tt2181889,4.0,Death Do Us Part (2014)
15418,NaN,[Hungary],1,517,tt1223146,,A Sipsirica (TV Series 1980– )
15419,NaN,[USA],1,56,tt0105410,4.0,"Silent Night, Deadly Night 5: The Toy Maker (Video 1991)"
15420,"$3,000,000","[Italy, UK, USA]",1,246,tt0105411,7.2,Simple Men (1992)
15421,"$31,000,000",[USA],4,4305,tt0105417,6.1,Sister Act (1992)
15422,NaN,[USA],3,1746,tt0105414,6.3,Single White Female (1992)
15423,NaN,[USA],1,1750,tt0105415,6.7,Singles (1992)
15424,NaN,[Sweden],2,1467,tt0473609,4.8,Babas bilar (2006)
15425,NaN,[Germany],3,4131,tt0498525,5.1,Lissi und der wilde Kaiser (2007)
15426,NaN,[France],2,4640,tt0478724,6.8,Prête-moi ta main (2006)
15427,NaN,"[France, UK, USA]",2,2009,tt0119576,2.6,Another Nine & a Half Weeks (1997)
15428,NaN,[USA],2,2950,tt0119571,5.1,The Love Bug (TV Movie 1997)
15429,"$1,200,000",[USA],4,15621,tt1436559,4.9,"Love, Wedding, Marriage (2011)"
15430,"$50,000",[USA],1,335,tt1833703,8.0,Green Day: Awesome As F**K (Video 2011)
15431,NaN,[],1,289,tt2283584,8.4,"""Phineas and Ferb"" Mission Marvel (TV Episode 2013)"
15432,"$35,000,000","[UK, USA]",5,11250,tt0962736,7.3,The Young Victoria (2009)
15433,NaN,[UK],1,603,tt1987004,7.9,Tornado Rampage 2011 (TV Movie 2011)
15434,NaN,[USA],1,194,tt0099227,3.5,Cartel (1990)
15435,NaN,[USA],1,935,tt0158131,6.9,Purgatory (TV Movie 1999)
15436,NaN,[Hungary],2,994,tt0123445,7.8,Behajtani tilos! (1941)
15437,NaN,[Austria],1,168,tt1824984,,Gola Zareen: The World in a Ball (2010)
15438,NaN,[USA],2,1573,tt0097457,6.2,Great Balls of Fire! (1989)
15439,NaN,[Japan],1,137,tt0224098,7.4,Shinobi No Mono 4: Siege (1964)
15440,NaN,[USA],1,765,tt0097455,4.8,Grandmother's House (1988)
15441,NaN,[Hungary],1,2403,tt0396886,5.6,Szerelmes szívek (1991)
15442,NaN,[Denmark],2,591,tt0069042,6.7,Olsen-bandens store kup (1972)
15443,"$53,000,000",[USA],8,13041,tt0377471,5.6,Be Cool (2005)
15444,NaN,[France],1,1456,tt0407251,4.7,Les textiles (2004)
