ID,Category,genre
1485930,Electronic,trance/techno
1485929,Electronic,trance/techno
1485928,Electronic,trance/techno
1485927,Electronic,trance/techno
1485926,Electronic,trance/techno
1485917,Electronic,trance/techno
1485916,Electronic,trance/techno
1485915,Electronic,chillout/ambient
1485914,Electronic,trance/techno
1485913,Electronic,chillout/ambient
1485903,rock,rock
1485899,Electronic,chillout/ambient
1485898,Electronic,house
1485897,Electronic,electronic
1485896,Electronic,trance/techno
1485895,Electronic,trance/techno
1485894,Electronic,house
1485893,Electronic,house
1485892,Electronic,drum'n'bass
1485891,rock,hardcore
1485890,Pop,indie
1485889,Electronic,house
1485888,Electronic,house
1485887,Electronic,house
1485886,Electronic,house
1485885,Electronic,house
1485884,Electronic,house
1485883,Electronic,house
1485882,Electronic,drum'n'bass
1485880,Pop,indie
1485878,Pop,dance
1485876,Hip-hop,hip-hop
1485876,Hip-hop,hip-hop
1485875,Hip-hop,hip-hop
1485875,Hip-hop,hip-hop
1485873,Pop,dance
1485860,Pop,pop
1485860,rock,rock
1485860,Pop,dance
1485860,Other,soul
1485857,Pop,pop
1485857,rock,rock
1485857,Pop,dance
1485857,Other,soul
1485855,Pop,pop
1485855,rock,rock
1485855,Pop,dance
1485855,Other,soul
1485854,Pop,pop
1485854,rock,rock
1485854,Pop,dance
1485854,Other,soul
1485853,Pop,pop
1485853,rock,rock
1485853,Pop,dance
1485853,Other,soul
1485851,Pop,pop
1485851,rock,rock
1485851,Pop,dance
1485851,Other,soul
1485848,Pop,pop
1485848,rock,rock
1485848,Pop,dance
1485848,Other,soul
1485846,Pop,pop
1485846,rock,rock
1485846,Pop,dance
1485846,Other,soul
1485843,Pop,pop
1485843,rock,rock
1485843,Pop,dance
1485843,Other,soul
1485840,Pop,pop
1485840,rock,rock
1485840,Pop,dance
1485840,Other,soul
1485835,Electronic,house
1485832,rock,psychedelic-rock
1485832,rock,rock
1485832,rock,rock
1485820,Electronic,trance/techno
1485820,Pop,dance
1485813,Electronic,trance/techno
1485753,Other,blues
1485752,Electronic,trance/techno
1485725,rock,hardcore
1485725,rock,rock
1485715,rock,hardcore
1485706,rock,dark-rock
1485706,rock,hardcore
1485686,rock,dark-metal
1485686,rock,dark-rock
1485682,Other,audiobook
1485669,Pop,pop
1485668,Pop,dance
1485667,Pop,dance
1485666,Pop,pop
1485665,Hip-hop,hip-hop
1485665,Hip-hop,hip-hop
1485664,Hip-hop,hip-hop
1485664,Hip-hop,hip-hop
1485663,rock,rock
1485661,Electronic,trance/techno
1485655,Other,reggae
1485654,Pop,dance
1485653,Other,reggae
1485652,Other,reggae
1485651,Other,reggae
1485644,Other,audiobook
